provider_name,alias,provider_id,provider_type,country
USA,United States,P1,country,nan
CHN,China,P2,country,nan
KOR,South Korea,P4,country,nan
Various countries,nan,P5,country,nan
JPN,Japan,P7,country,nan
TWN,Taiwan,P8,country,nan
Intel,nan,P9,organization,USA
AMD,nan,P10,organization,USA
Nvidia,nan,P11,organization,USA
Jingjia Micro,nan,P12,organization,CHN
Loongson,nan,P13,organization,CHN
Zhaoxin,nan,P14,organization,CHN
Phytium,nan,P15,organization,CHN
Efinix,nan,P16,organization,CHN
HiSilicon,nan,P17,organization,CHN
Lattice,nan,P18,organization,USA
Microchip,nan,P19,organization,USA
Achronix,nan,P20,organization,USA
Flex Logic,nan,P21,organization,USA
Google,nan,P22,organization,USA
Cerebras,nan,P23,organization,USA
Tesla,nan,P24,organization,USA
Graphcore,nan,P25,organization,GBR
Cambricon,nan,P26,organization,CHN
Horizon Robotics,nan,P27,organization,CHN
Intellifusion,nan,P28,organization,CHN
Gowin,nan,P29,organization,CHN
Shenzhen Pango,nan,P30,organization,CHN
Sunway,nan,P31,organization,CHN
DEU,Germany,P32,country,nan
ITA,Italy,P33,country,nan
TSMC,nan,P34,organization,TWN
Samsung,nan,P35,organization,KOR
GlobalFoundries,nan,P36,organization,USA
SMIC,nan,P37,organization,CHN
UMC,nan,P38,organization,TWN
Powerchip,nan,P39,organization,TWN
Hua Hong,nan,P40,organization,CHN
STMicroelectronics,nan,P42,organization,CHE
NXP,nan,P43,organization,NLD
Kioxia,nan,P44,organization,JPN
NLD,Netherlands,P45,country,nan
MYS,Malaysia,P46,country,nan
SGP,Singapore,P47,country,nan
ASE,nan,P48,organization,TWN
Amkor,nan,P49,organization,USA
JCET,nan,P50,organization,CHN
TongFu,nan,P52,organization,CHN
Tianshui Huatian Technology,nan,P53,organization,CHN
UTAC,nan,P54,organization,SGP
SK Hynix,nan,P55,organization,KOR
Micron,nan,P56,organization,USA
Powertech,nan,P57,organization,TWN
PVA TePla,nan,P58,organization,DEU
JSG,nan,P59,organization,CHN
Accretech,ACCRETECH - Tokyo Seimitsu,P60,organization,JPN
Okamoto,Okamoto Machine Tool Works,P61,organization,JPN
Disco,nan,P62,organization,JPN
Meyer Burger,nan,P63,organization,CHE
Toyo,nan,P64,organization,JPN
Lanzhou Rapid Equipment Manufacturing,nan,P65,organization,CHN
Beijing JingYi Century Automatic Equipment,nan,P66,organization,CHN
EV Group,nan,P67,organization,AUT
SUSS MicroTec,nan,P68,organization,DEU
Neutronix,Neutronix Quintel,P69,organization,USA
SMEE,nan,P70,organization,CHN
Daifuku,nan,P71,organization,JPN
Rorze,nan,P72,organization,JPN
SEMES,nan,P73,organization,KOR
Muratec,nan,P74,organization,JPN
Gudeng,Gudeng Precision Industrial,P75,organization,TWN
RECIF,nan,P76,organization,FRA
Brooks,Brooks Automation,P77,organization,USA
ESI,nan,P78,organization,USA
CHE,Switzerland,P79,country,nan
AUT,Austria,P80,country,nan
Applied Materials,nan,P81,organization,USA
Nissin Ion,nan,P82,organization,JPN
SMIT,nan,P83,organization,JPN
Axcelis,Axcelis Technologies,P84,organization,USA
CETC,nan,P85,organization,CHN
Hermes-Epitek,nan,P86,organization,TWN
Kingstone Semiconductor,nan,P87,organization,CHN
ASML,nan,P88,organization,NLD
Nikon,nan,P89,organization,JPN
SWE,Sweden,P90,country,nan
NuFlare,NuFlare Technology,P91,organization,JPN
JEOL,nan,P92,organization,JPN
Vistec,Vistec Semiconductor Systems,P93,organization,DEU
Mycronic,nan,P94,organization,SWE
Heidelberg Instruments,nan,P95,organization,DEU
Thermo Fisher,nan,P96,organization,USA
Hitachi,Hitachi High-Tech,P97,organization,JPN
Zeiss,nan,P98,organization,DEU
Tescan,nan,P99,organization,CZE
HORIBA,nan,P100,organization,JPN
Eurofins,nan,P101,organization,LUX
A&D,nan,P102,organization,JPN
Raith,nan,P103,organization,DEU
FOCUS,nan,P104,organization,DEU
Tokyo Electron,nan,P105,organization,JPN
Screen,nan,P106,organization,JPN
Kingsemi,nan,P107,organization,CHN
Brewer Science,nan,P108,organization,USA
Rite Track,nan,P109,organization,USA
GBR,United Kingdom,P110,country,nan
Lam Research,nan,P111,organization,USA
ASM International,nan,P112,organization,NLD
Piotech,nan,P113,organization,CHN
SKY Technology Development,nan,P114,organization,CHN
NAURA,nan,P115,organization,CHN
Kokusai,Kokusai Electric,P116,organization,JPN
ULVAC,nan,P117,organization,JPN
KLA,nan,P118,organization,USA
Mattson Tech,Mattson Technology,P119,organization,CHN
AP Systems,nan,P120,organization,KOR
Veeco,nan,P121,organization,USA
Grand Process,Grand Plastic Technology,P122,organization,TWN
AMEC,Advanced Micro-Fabrication Equipment Inc. China,P123,organization,CHN
Plasma-Therm,nan,P124,organization,USA
SAMCO,nan,P125,organization,JPN
GigaLane,nan,P126,organization,KOR
Charm Engineering,nan,P127,organization,KOR
EBARA,nan,P128,organization,JPN
Hwatsing,nan,P129,organization,CHN
KCTech,nan,P130,organization,KOR
Revasum,nan,P131,organization,USA
FRA,France,P132,country,nan
ISR,Israel,P133,country,nan
BLR,Belarus,P134,country,nan
Bruker,"Bruker, AXS",P135,organization,USA
Rigaku,Rigaku International,P136,organization,JPN
Raintree Scientific Instruments (RSIC),RSIC Scientic Instrument,P137,organization,CHN
Nanotronics,nan,P138,organization,USA
Onto Innovation,nan,P139,organization,USA
Lasertec,nan,P140,organization,JPN
CAMTEK,nan,P141,organization,ISR
Keysight Tech,Keysight Technologies,P142,organization,USA
Keithley Instruments,nan,P143,organization,USA
Top Engineering,nan,P144,organization,KOR
ASM Pacific,ASMPT Limited,P145,organization,SGP
ASTI,nan,P146,organization,SGP
Koh Young Tech,Koh Young Technology,P147,organization,KOR
Cohu,nan,P148,organization,USA
MIRTEC,nan,P149,organization,KOR
Grand Tec,nan,P150,organization,CHN
Longhill Industries,nan,P154,organization,CHN
SYNOVA,nan,P155,organization,CHN
Besi,BE Semiconductor Industries,P156,organization,NLD
Fasford Tech,Fasford Technology,P158,organization,JPN
Canon,Canon ANELVA,P159,organization,JPN
Hoson,nan,P160,organization,CHN
PROTEC,nan,P161,organization,KOR
JIAFENG,Jiafeng Automation,P162,organization,CHN
DIAS Automation,nan,P163,organization,CHN
Kulicke & Soffa,nan,P164,organization,SGP
Hesse,nan,P165,organization,DEU
Shinkawa,nan,P166,organization,JPN
SSP,nan,P167,organization,KOR
KOSES,nan,P168,organization,KOR
TOWA,nan,P169,organization,JPN
HANMI,nan,P170,organization,KOR
Trinity Tech,Trinity Technology,P171,organization,CHN
Grohmann,Grohmann Engineering,P172,organization,USA
CZE,Czech Republic,P173,country,nan
CAN,Canada,P174,country,nan
Advantest,nan,P175,organization,JPN
Teradyne,nan,P176,organization,USA
UniTest,nan,P177,organization,KOR
DI,nan,P178,organization,KOR
Micro Control,Micro Control Company,P179,organization,USA
National Instruments,nan,P180,organization,USA
TESEC,nan,P181,organization,JPN
AccoTEST,AccoTEST (Beijing Huafeng Test),P182,organization,CHN
Shanghai Juno,nan,P183,organization,CHN
JHT,nan,P184,organization,CHN
Synopsys,nan,P185,organization,USA
Cadence,nan,P186,organization,USA
Mentor Graphics,nan,P187,organization,USA
Ansys,nan,P188,organization,USA
Silvaco,nan,P189,organization,USA
