input_name,input_id,goes_into_name,goes_into_id,is_type_of_name,is_type_of_id
Crystal growing furnaces,N8,Wafer,N26,nan,nan
Crystal machining tools,N9,Wafer,N26,nan,nan
EUV lithography tools,N20,nan,nan,Lithography tools,N19
ArF dry (DUV) lithography tools,N21,nan,nan,Lithography tools,N19
ArF immersion (DUV) lithography tools,N22,nan,nan,Lithography tools,N19
Lithography tools,N19,Photolithography,N25,nan,nan
Ion implantation,N16,Chemical mechanical planarization,N57,nan,nan
Etch and clean,N46,Ion implantation,N16,nan,nan
Maskless lithography tools,N28,nan,nan,Lithography tools,N19
Mask exposure systems - e-beam,N29,nan,nan,Maskless lithography tools,N28
Mask exposure systems - laser beam,N30,nan,nan,Maskless lithography tools,N28
Photomasks,N33,Photolithography,N25,nan,nan
Photoresists,N31,Photolithography,N25,nan,nan
Resist processing tools,N32,Photolithography,N25,nan,nan
Deposition tools,N36,Deposition,N35,nan,nan
Plasma CVD tools,N38,nan,nan,Chemical vapor deposition tools,N47
Low-pressure CVD tools,N39,nan,nan,Chemical vapor deposition tools,N47
High-temperature CVD tools,N40,nan,nan,Chemical vapor deposition tools,N47
Atomic layer deposition tools,N41,nan,nan,Deposition tools,N36
Physical vapor deposition tools,N42,nan,nan,Deposition tools,N36
Rapid thermal processing tools,N43,nan,nan,Deposition tools,N36
Tube-based diffusion and deposition tools,N44,nan,nan,Deposition tools,N36
Electrochemical plating tools,N45,nan,nan,Deposition tools,N36
Chip design,N0,Deposition,N35,nan,nan
Deposition,N35,Photolithography,N25,nan,nan
Photolithography,N25,Etch and clean,N46,nan,nan
Chemical vapor deposition tools,N47,nan,nan,Deposition tools,N36
Dry etching and cleaning tools,N48,Etch and clean tools,N55,nan,nan
Wet etching and cleaning tools,N49,Etch and clean tools,N55,nan,nan
Conductor etching tools,N50,nan,nan,Dry etch tools,N103
Insulator etching tools,N51,nan,nan,Dry etch tools,N103
CMP tools,N86,Chemical mechanical planarization,N57,nan,nan
Wafer handlers,N11,nan,nan,Wafer and photomask handlers,N59
Photomask handlers,N12,nan,nan,Wafer and photomask handlers,N59
Wafer bonding and aligning tools,N10,nan,nan,Fabrication tools (for advanced packaging),N109
Process control and handling,N118,Photolithography,N25,nan,nan
Process control and handling,N118,Etch and clean,N46,nan,nan
Process control and handling,N118,Chemical mechanical planarization,N57,nan,nan
Process control and handling,N118,Ion implantation,N16,nan,nan
Process control and handling,N118,Deposition,N35,nan,nan
Wafer inspection tools,N61,nan,nan,Process control tools,N60
Photomask inspection and repair tools,N62,nan,nan,Process control tools,N60
