provider_name,alias,provider_id,provider_type,country,source_file,provided_name,provided_id,share_provided,year,source
USA,United States,P1,country,Unknown,providers.csv,,,,,
CHN,China,P2,country,Unknown,providers.csv,,,,,
KOR,South Korea,P4,country,Unknown,providers.csv,,,,,
Various countries,,P5,country,Unknown,providers.csv,,,,,
JPN,Japan,P7,country,Unknown,providers.csv,,,,,
TWN,Taiwan,P8,country,Unknown,providers.csv,,,,,
Intel,,P9,organization,USA,providers.csv,,,,,
AMD,,P10,organization,USA,providers.csv,,,,,
Nvidia,,P11,organization,USA,providers.csv,,,,,
Jingjia Micro,,P12,organization,CHN,providers.csv,,,,,
Loongson,,P13,organization,CHN,providers.csv,,,,,
Zhaoxin,,P14,organization,CHN,providers.csv,,,,,
Phytium,,P15,organization,CHN,providers.csv,,,,,
Efinix,,P16,organization,CHN,providers.csv,,,,,
HiSilicon,,P17,organization,CHN,providers.csv,,,,,
Lattice,,P18,organization,USA,providers.csv,,,,,
Microchip,,P19,organization,USA,providers.csv,,,,,
Achronix,,P20,organization,USA,providers.csv,,,,,
Flex Logic,,P21,organization,USA,providers.csv,,,,,
Google,,P22,organization,USA,providers.csv,,,,,
Cerebras,,P23,organization,USA,providers.csv,,,,,
Tesla,,P24,organization,USA,providers.csv,,,,,
Graphcore,,P25,organization,GBR,providers.csv,,,,,
Cambricon,,P26,organization,CHN,providers.csv,,,,,
Horizon Robotics,,P27,organization,CHN,providers.csv,,,,,
Intellifusion,,P28,organization,CHN,providers.csv,,,,,
Gowin,,P29,organization,CHN,providers.csv,,,,,
Shenzhen Pango,,P30,organization,CHN,providers.csv,,,,,
Sunway,,P31,organization,CHN,providers.csv,,,,,
DEU,Germany,P32,country,Unknown,providers.csv,,,,,
ITA,Italy,P33,country,Unknown,providers.csv,,,,,
TSMC,,P34,organization,TWN,providers.csv,,,,,
Samsung,,P35,organization,KOR,providers.csv,,,,,
GlobalFoundries,,P36,organization,USA,providers.csv,,,,,
SMIC,,P37,organization,CHN,providers.csv,,,,,
UMC,,P38,organization,TWN,providers.csv,,,,,
